Number,Code Name,Description,Citations,URLs
231,Mirror code,The Cholesterol Recognition/Mirror Code,"Fantini, J., C. Di Scala, L. S. Evans, P. T. F. Williamson and F. J. Barrantes (2016). “A mirror code for protein-cholesterol interactions in the two leaflets of biological membranes.” Scientific Reports 6(1): 21907.","[""https://www.nature.com/articles/srep21907""]"
232,Mitochondrial genetic code,The Mitochondrial Genetic Code,"Swire, J., O. P. Judson and A. Burt (2005). “Mitochondrial genetic codes evolve to match amino acid requirements of proteins.” J Mol Evol 60(1): 128-139. Sengupta, S., X. Yang and P. G. Higgs (2007). “The Mechanisms of Codon Reassignments in Mitochondrial Genetic Codes.” Journal of Molecular Evolution 64(6): 662-688.","[""https://link.springer.com/article/10.1007/s00239-004-0077-9"", ""https://link.springer.com/article/10.1007/s00239-006-0284-7"", ""https://link.springer.com/article/10.1007/s00412-007-0138-0""]"
233,Mitosis codes,The Mitosis Codes SEE also Tubulin codes,"Bloom, K. S. (2008). “Beyond the code: the mechanical properties of DNA as they relate to mitosis.” Chromosoma 117(2): 103-110. Georgatos, S. D., Y. Markaki, A. Christogianni and A. S. Politou (2009). “Chromatin remodeling during mitosis: a structure-based code?” Front Biosci (Landmark Ed) 14(6): 2017-2027. Barisic, M. and H. Maiato (2015). “Cracking the (tubulin) code of mitosis.” Oncotarget 6(23): 19356- 19357. Ferreira, L. T., A. C. Figueiredo, B. Orr, D. Lopes and H. Maiato (2018). Chapter 3 – Dissecting the role of the tubulin code in mitosis. Methods in Cell Biology. H. Maiato and M. Schuh, Academic Press. 144: 33-74. Lopes, D. and H. Maiato (2020). “The Tubulin Code in Mitosis and Cancer.” Cells 9(11): 2356.","[""https://link.springer.com/article/10.1007/s00412-007-0138-0"", ""https://www.cell.com/neuron/fulltext/S0896-6273(03)00728-1"", ""https://www.imrpress.com/journal/FBL/14/6/10.2741/3360"", ""https://www.mdpi.com/2073-4409/9/11/2356"", ""https://www.oncotarget.com/article/5108/"", ""https://www.sciencedirect.com/science/article/abs/pii/S0091679X18300402""]"
234,Mnemonic code,The Mnemonic codes,"Goosens, K. A., J. A. Hobin and S. Maren (2003). ""Auditory-evoked spike firing in the lateral amygdala and Pavlovian fear conditioning: mnemonic code or fear bias?"" Neuron 40(5): 1013-1022. Patai, E. Z. and H. J. Spiers (2016). “Cracking the mnemonic code.” Nat Neurosci 20(1): 8-9.","[""https://www.cell.com/neuron/fulltext/S0896-6273(03)00728-1"", ""https://www.nature.com/articles/nn.4466"", ""https://www.tandfonline.com/doi/abs/10.4161/cc.19990""]"
235,Modification code,The RNA Polymerase Modification Codes,"Brookes, E. and A. Pombo (2012). “Code breaking: The RNAPII modification code in pluripotency.” Cell Cycle 11(7): 1267-1268.","[""https://www.sciencedirect.com/science/article/abs/pii/S0303264722001198"", ""https://www.tandfonline.com/doi/abs/10.4161/cc.19990""]"
236,Modularity codes,The Modularity Codes,"Prinz, R. (2022). “The modularity codes.” Biosystems 219: 104735.","[""https://rupress.org/jcb/article/179/6/1193/54124/A-molecular-specificity-code-for-the-three"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264722001198""]"
237,Molecular codes,The Molecular Codes,"Raykhel, I., H. Alanen, K. Salo, J. Jurvansuu, V. D. Nguyen, M. Latva-Ranta and L. Ruddock (2007). ""A molecular specificity code for the three mammalian KDEL receptors."" J Cell Biol 179(6): 1193-1204. De Beule, J., E. Hovig and M. Benson (2011). “Introducing Dynamics into the Field of Biosemiotics.” Biosemiotics 4(1): 5-24.","[""https://link.springer.com/article/10.1007/s12304-010-9101-1"", ""https://rupress.org/jcb/article/179/6/1193/54124/A-molecular-specificity-code-for-the-three""]"
238,Monocyte code,The Monocyte Codes SEE also Fibrotic Code,"Hedrick, C. C. (2024). Single-Cell Sleuthing: Cracking the Monocyte Code for Cardiovascular Clues. Circ Res, 135(6), 701-703. Curioni, A. V., Crestani, B., & Helou, D. G. (2026). Reading the monocyte code in idiopathic pulmonary fibrosis. Eur Respir J, 67(5).","[""https://doi.org/10.1161/CIRCRESAHA.124.325134"", ""https://doi.org/10.1183/13993003.00349-2026"", ""https://www.nature.com/articles/s41598-017-14170-w""]"
239,Morphogenetic code,The Morphogenetic Code,"Matsuda, K., H. Gotoh, Y. Tajika, T. Sushida, H. Aonuma, T. Niimi, M. Akiyama, Y. Inoue and S. Kondo (2017). “Complex furrows in a 2D epithelial sheet code the 3D structure of a beetle horn.” Sci Rep 7(1): 13939. Tassinari, R., C. Cavallini, E. Olivi, V. Taglioli, C. Zannini and C. Ventura (2021). ""Unveiling the morphogenetic code: A new path at the intersection of physical energies and chemical signaling."" World J Stem Cells 13(10): 1382-1393. Tassinari, R., C. Cavallini, E. Olivi, F. Facchin, V. Taglioli, C. Zannini, M. Marcuzzi and C. Ventura (2022). “Cell Responsiveness to Physical Energies: Paving the Way to Decipher a Morphogenetic Code.” Int J Mol Sci 23(6). Qin, J., Kinobe, R., Schaeffer, P. M., & Hong, Y. (2025). The bacterial cell envelope as a morphogenetic code for biofilm development. Microbiology Australia, 46(4), 227-230.","[""https://doi.org/10.1071/ma25064"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(95)00100-X"", ""https://www.mdpi.com/1422-0067/23/6/3157"", ""https://www.nature.com/articles/s41598-017-14170-w"", ""https://www.wjgnet.com/1948-0210/full/v13/i10/1382.htm""]"
240,Motor neuron code,The Motor Neuron Codes,"Lumsden, A. (1995). ""Neural development. A 'LIM code' for motor neurons?"" Curr Biol 5(5): 491-495. Thor, S., S. G. Andersson, A. Tomlinson and J. B. Thomas (1999). ""A LIM-homeodomain combinatorial code for motor-neuron pathway selection."" Nature 397(6714): 76-80. Glaze, C. M. and T. W. Troyer (2007). ""Behavioral measurements of a temporally precise motor code for birdsong."" J Neurosci 27(29): 7631-7639. Stein, W., O. Straub, J. Ausborn, W. Mader and H. Wolf (2008). “Motor pattern selection by combinatorial code of interneuronal pathways.” J Comput Neurosci 25(3): 543-561.","[""https://link.springer.com/article/10.1007/s10827-008-0093-7"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(95)00100-X"", ""https://www.jneurosci.org/content/27/29/7631.long"", ""https://www.nature.com/articles/16275""]"
241,mRNA degradation code,The mRNA Degradation Code SEE also  mRNA Stability Code,"Alonso, C. R. (2012). A complex &#x2018;mRNA degradation code&#x2019; controls gene expression during animal development. Trends in Genetics, 28(2), 78-88.","[""https://doi.org/10.1016/j.tig.2011.10.005"", ""https://doi.org/10.1016/j.tig.2016.08.007""]"
242,mRNA stability code,The Universal mRNA Stability Code SEE also mRNA Degradation Code,"Chen, Y.-H., & Coller, J. (2016). A Universal Code for mRNA Stability? Trends in Genetics, 32(11), 687- 688.","[""https://doi.org/10.1016/j.tig.2016.08.007"", ""https://doi.org/10.1076/jnmr.30.2.107.7115""]"
243,Musical code,The Musical Codes,"Cariani, P. (2001). Temporal Codes, Timing Nets, and Music Perception. Journal of New Music Research, 30(2), 107-135. Reybrouck, M. (2008). The Musical Code between Nature and Nurture: Ecosemiotic and Neurobiological Claims. The Codes of Life: The Rules of Macroevolution. M. Barbieri and J. Hoffmeyer. Dordrecht, Springer Netherlands: 395-434.","[""https://doi.org/10.1076/jnmr.30.2.107.7115"", ""https://link.springer.com/chapter/10.1007/978-1-4020-6340-4_18""]"
244,Mutualism code,The Mutualism Ant-Plant Code,"Letourneau, D. K. (1990). “Code of ant-plant mutualism broken by parasite.” Science 248(4952): 215- 217.","[""https://www.jneurosci.org/content/23/32/10214"", ""https://www.science.org/doi/10.1126/science.248.4952.215""]"
245,Myelin code,The Myelin Code,"Farhadi, H. F., P. Lepage, R. Forghani, H. C. H. Friedman, W. Orfali, L. Jasmin, W. Miller, T. J. Hudson and A. C. Peterson (2003). “A Combinatorial Network of Evolutionarily Conserved Myelin Basic Protein Regulatory Sequences Confers Distinct Glial-Specific Phenotypes.” The Journal of Neuroscience 23(32): 10214-10223. Wood, H. (2004). “A time code for myelin.” Nature Reviews Neuroscience 5(1): 9-9.","[""https://link.springer.com/article/10.1007/BF00613802"", ""https://www.jneurosci.org/content/23/32/10214"", ""https://www.nature.com/articles/nrn1306""]"
246,Navigation codes,The Navigation / Orientation / Movement Codes,"Camhi, J. M. and A. Levy (1989). ""The code for stimulus direction in a cell assembly in the cockroach."" J Comp Physiol A 165(1): 83-97. Frens, M. A., Y. Suzuki, H. Scherberger, K. Hepp and V. Henn (1998). ""The collicular code of saccade direction depends on the roll orientation of the head relative to gravity."" Exp Brain Res 120(3): 283- 290. Erdi, P., Z. Huhn and T. Kiss (2005). “Hippocampal theta rhythms from a computational perspective: code generation, mood regulation and navigation.” Neural Netw 18(9): 1202-1211. Bremner, A. J., D. Mareschal, S. Lloyd-Fox and C. Spence (2008). ""Spatial localization of touch in the first year of life: early influence of a visual spatial code and the development of remapping across changes in limb position."" J Exp Psychol Gen 137(1): 149-162. Nadler, J. W., M. Nawrot, D. E. Angelaki and G. C. DeAngelis (2009). “MT neurons combine visual motion with a smooth eye movement signal to code depth-sign from motion parallax.” Neuron 63(4): 523-532. Takahashi, M., J. Lauwereyns, Y. Sakurai and M. Tsukada (2009). ""A code for spatial alternation during fixation in rat hippocampal CA1 neurons."" J Neurophysiol 102(1): 556-567. Khosravi-Hashemi, N. and M. J. Chacron (2012). “Bursts and isolated spikes code for opposite movement directions in midbrain electrosensory neurons.” PloS One 7(6): e40339.","[""https://journals.physiology.org/doi/full/10.1152/jn.91159.2008"", ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040339"", ""https://link.springer.com/article/10.1007/BF00613802"", ""https://link.springer.com/article/10.1007/s002210050402"", ""https://linkinghub.elsevier.com/retrieve/pii/S0896-6273(09)00584-4"", ""https://psycnet.apa.org/record/2008-01081-010"", ""https://www.sciencedirect.com/science/article/abs/pii/S0893608005001942""]"
247,Nerve growth code,The Nerve Growth Factor Code,"Ottoson, D. (1999). “The unravelling of the code of nerve growth: a modern Saga of the dedication to science.” Brain Res Bull 50(5-6): 473-474. Beaujean, D., Rosenbaum, C., Müller, H.-W., Willemsen, J. J., Lenders, J., & Bornstein, S. R. (2003). Combinatorial code of growth factors and neuropeptides define neuroendocrine differentiation in PC12 cells. Exp Neurol, 184(1), 348-358. Morris, A. J., Parker, R. S., Nazzal, M. K., Natoli, R. M., Fehrenbacher, J. C., Kacena, M. A., & White, F. A. (2024). Cracking the Code: The Role of Peripheral Nervous System Signaling in Fracture Repair. Current Osteoporosis Reports, 22(1), 193-204.","[""https://link.springer.com/article/10.1007/BF00610965"", ""https://link.springer.com/article/10.1007/s11914-023-00846-y"", ""https://www.sciencedirect.com/science/article/abs/pii/S0014488603003625"", ""https://www.sciencedirect.com/science/article/abs/pii/S0361923099001409""]"
248,Neural codes – A (general),The General Neural Codes,"Rose, G. J., M. Kawasaki and W. Heiligenberg (1988). ""'Recognition units' at the top of a neuronal hierarchy? Prepacemaker neurons in Eigenmannia code the sign of frequency differences unambiguously."" J Comp Physiol A 162(6): 759-772. Bialek, W., F. Rieke, R. R. de Ruyter van Steveninck and D. Warland (1991). “Reading a neural code.” Science 252(5014): 1854-1857.","[""https://link.springer.com/article/10.1007/BF00610965"", ""https://www.science.org/doi/10.1126/science.2063199""]"
249,Neural Code – B (motion),The Neural Motion Codes,"Frost, B. J. and K. Nakayama (1983). ""Single visual neurons code opposing motion independent of direction."" Science 220(4598): 744-745. Geisler, W. S. (1999). ""Motion streaks provide a spatial code for motion direction."" Nature 400(6739): 65-69. Lia, B., K. R. Dobkins, J. Palmer and D. Y. Teller (1999). ""Infants code the direction of chromatic quadrature motion."" Vision Res 39(10): 1783-1794. Inaba, N., S. Shinomoto, S. Yamane, A. Takemura and K. Kawano (2007). ""MST neurons code for visual motion in space independent of pursuit eye movements."" J Neurophysiol 97(5): 3473-3483. Clarke, S. E., A. Longtin and L. Maler (2014). ""A neural code for looming and receding motion is distributed over a population of electrosensory ON and OFF contrast cells."" J Neurosci 34(16): 5583- 5594. McIntyre, S., I. Birznieks, R. M. Vickery, A. O. Holcombe and T. Seizova-Cajic (2016). ""The tactile motion aftereffect suggests an intensive code for speed in neurons sensitive to both speed and direction of motion."" J Neurophysiol 115(3): 1703-1712.","[""https://journals.physiology.org/doi/full/10.1152/jn.00460.2015"", ""https://journals.physiology.org/doi/full/10.1152/jn.01054.2006"", ""https://www.jneurosci.org/content/34/16/5583.long"", ""https://www.nature.com/articles/21886"", ""https://www.science.org/doi/10.1126/science.6836313"", ""https://www.sciencedirect.com/science/article/pii/S0042698998002028""]"
250,Neural Code – C (perception & recognition),The Neural Perception & Recognition Codes,"Erickson, R. P. (1973). ""Adaptation and the neural code for visual form."" Brain Res 52: 374-377. Szeto, A. Y. (1982). ""Electrocutaneous code pairs for artificial sensory communication systems."" Ann Biomed Eng 10(4): 175-192. Johnson, B. R., R. Voigt, C. L. Merrill and J. Atema (1991). ""Across-fiber patterns may contain a sensory code for stimulus intensity."" Brain Res Bull 26(3): 327-331. Barinaga, M. (1994). Neurons tap out a code that may help locate sounds. Science, 264(5160), 775. Hart, A. C., S. Sims and J. M. Kaplan (1995). ""Synaptic code for sensory modalities revealed by C. elegans GLR-1 glutamate receptor."" Nature 378(6552): 82-85. Sejnowski, T. J. (1995). “Pattern recognition. Time for a new neural code?” Nature 376(6535): 21-22. Baddeley, R. (1996). ""Visual perception. An efficient code in V1?"" Nature 381(6583): 560-561. Buonomano, D. V. and M. Merzenich (1999). “A neural network model of temporal code generation and position-invariant pattern recognition.” Neural Comput 11(1): 103-116. March, L., A. Cienfuegos, L. Goldbloom, W. Ritter, N. Cowan and D. C. Javitt (1999). ""Normal time course of auditory recognition in schizophrenia, despite impaired precision of the auditory sensory (""echoic"") memory code."" J Abnorm Psychol 108(1): 69-75. Prins, N. and A. J. Mussap (2001). ""Adaptation reveals a neural code for the visual location of orientation change."" Perception 30(6): 669-680. Nisly-Nagele, S. J. and G. S. Wasserman (2001). ""Dissociating sensory and cognitive contributions to visual persistence I. Photoreceptor response duration as a function of flash intensity, adaptation state, and candidate code."" Biol Cybern 85(3): 167-183. Wasserman, G. S. and S. J. Nisly-Nagele (2001). ""Dissociating sensory and cognitive contributions to visual persistence II. Photoreceptor integration of flash pairs as a function of interflash interval, intensity, integration site, and candidate code."" Biol Cybern 85(3): 185-194.","[""https://direct.mit.edu/neco/article-abstract/11/1/103/6231/A-Neural-Network-Model-of-Temporal-Code-Generation?redirectedFrom=fulltext"", ""https://doi.org/10.1126/science.8171332"", ""https://journals.sagepub.com/doi/10.1068/p3107"", ""https://link.springer.com/article/10.1007/BF02367389"", ""https://link.springer.com/article/10.1007/s004220100250"", ""https://link.springer.com/article/10.1007/s004220100251"", ""https://psycnet.apa.org/record/1999-00603-007"", ""https://www.nature.com/articles/376021a0"", ""https://www.nature.com/articles/378082a0"", ""https://www.nature.com/articles/381560a0"", ""https://www.sciencedirect.com/science/article/abs/pii/0006899373906744"", ""https://www.sciencedirect.com/science/article/abs/pii/0361923091900022""]"
251,Neural code – D (tactile),The Tactile Neural Codes,"Goodwin, A. W. (1993). ""Touch: the code for roughness."" Curr Biol 3(6): 378-379. Johansson, R. S. and I. Birznieks (2004). ""First spikes in ensembles of human tactile afferents code complex spatial fingertip events."" Nat Neurosci 7(2): 170-177. Vázquez, Y., E. Salinas and R. Romo (2013). ""Transformation of the neural code for tactile detection from thalamus to cortex."" Proc Natl Acad Sci U S A 110(28): E2635-2644.","[""https://www.cell.com/current-biology/pdf/0960-9822(93)90207-5"", ""https://www.nature.com/articles/nn1177"", ""https://www.pnas.org/doi/10.1073/pnas.1309728110""]"
252,Neural code – E (specific),The Other Specific Neural Codes,"Sakagami, M., K. Tsutsui, J. Lauwereyns, M. Koizumi, S. Kobayashi and O. Hikosaka (2001). ""A code for behavioral inhibition on the basis of color, but not motion, in ventrolateral prefrontal cortex of macaque monkey."" J Neurosci 21(13): 4801-4808. Meyer-Luehmann, M., J. F. Thompson, K. C. Berridge and J. W. Aldridge (2002). ""Substantia nigra pars reticulata neurons code initiation of a serial pattern: implications for natural action sequences and sequential disorders."" Eur J Neurosci 16(8): 1599-1608. Paz, R. and E. Vaadia (2004). “Specificity of sensorimotor learning and the neural code: neuronal representations in the primary motor cortex.” J Physiol Paris 98(4-6): 331-348.","[""https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1460-9568.2002.02210.x"", ""https://www.jneurosci.org/content/21/13/4801.long"", ""https://www.sciencedirect.com/science/article/abs/pii/S0928425705000227""]"
253,Neural code – F (phase codes),The Neural Phase Codes,"Hasselmo, M. E., M. P. Brandon, M. Yoshida, L. M. Giocomo, J. G. Heys, E. Fransen, E. L. Newman and E. A. Zilli (2009). ""A phase code for memory could arise from circuit mechanisms in entorhinal cortex."" Neural Netw 22(8): 1129-1138. Heusser, A. C., D. Poeppel, Y. Ezzyat and L. Davachi (2016). ""Episodic sequence memory is supported by a theta-gamma phase code."" Nat Neurosci 19(10): 1374-1380. Jaramillo, J. and R. Kempter (2017). ""Phase precession: a neural code underlying episodic memory?"" Curr Opin Neurobiol 43: 130-138. Costa, M., D. Lozano-Soldevilla, A. Gil-Nagel, R. Toledano, C. R. Oehrn, L. Kunz, M. Yebra, C. Mendez- Bertolo, L. Stieglitz, J. Sarnthein, N. Axmacher, S. Moratti and B. A. Strange (2022). ""Aversive memory formation in humans involves an amygdala-hippocampus phase code."" Nat Commun 13(1): 6403.","[""http://doi.org/10.56512/AS.2025.1.e250508"", ""https://www.nature.com/articles/nn.4374"", ""https://www.nature.com/articles/s41467-022-33828-2"", ""https://www.nature.com/articles/s41598-017-08053-3"", ""https://www.sciencedirect.com/science/article/abs/pii/S0893608009001695""]"
254,Neuroinflammation code,The Neuroinflammation Code,"Latif M., Noreen S., Fatima H., Ahmad H., & Sheikh N.(2025). Neuroinflammation: The hidden code through the brain.Albus Scientia, 2025,Article ID e250508,1-9.","[""http://doi.org/10.56512/AS.2025.1.e250508"", ""https://journals.biologists.com/dev/article/140/11/2269/45718/A-dynamic-code-of-dorsal-neural-tube-genes""]"
255,Neuronal crest code,Neuronal crest segregation code,"Nitzan, E., S. Krispin, E. R. Pfaltzgraff, A. Klar, P. A. Labosky and C. Kalcheim (2013). “A dynamic code of dorsal neural tube genes regulates the segregation between neurogenic and melanogenic neural crest cells.” Development 140(11): 2269-2279.","[""https://journals.biologists.com/dev/article/140/11/2269/45718/A-dynamic-code-of-dorsal-neural-tube-genes"", ""https://www.sciencedirect.com/science/article/abs/pii/S0896627322005050""]"
256,Neuronal wiring code,The Neuronal Wiring Code,"Kovalenko, A. and A. Yaron (2022). “Cracking the combinatorial code of neuronal wiring.” Neuron 110(14): 2204-2206.","[""https://doi.org/10.1038/s41583-021-00526-9"", ""https://www.sciencedirect.com/science/article/abs/pii/S0896627322005050""]"
257,Neuropeptide code,The Neuropeptide Codes,"Chen, Z.-F. (2021). A neuropeptide code for itch. Nature Reviews Neuroscience, 22(12), 758-776. Das Gupta, R. R., L. Scheurer, P. Pelczar, H. Wildner and H. U. Zeilhofer (2021). “Neuron-specific spinal cord translatomes reveal a neuropeptide code for mouse dorsal horn excitatory neurons.” Sci Rep 11(1): 5232.","[""https://doi.org/10.1007/978-1-4615-9492-5_9"", ""https://doi.org/10.1038/s41583-021-00526-9"", ""https://www.nature.com/articles/s41598-021-84667-y""]"
258,Neurotransmitter code,The Neurotransmitter Codes,"Furness, J. B., Costa, M., Morris, J. L., & Gibbins, I. L. (1987). Novel Neurotransmitters and the Chemical Coding of Neurones. In H. McLennan, J. R. Ledsome, C. H. S. McIntosh, & D. R. Jones (Eds.), Advances in Physiological Research (pp. 143-165). Springer US.","[""http://hdl.handle.net/1773/36496"", ""https://doi.org/10.1007/978-1-4615-9492-5_9""]"
259,Neurotrophin code,The Neurotrophin Codes,"Gau, Philia (2016) THESIS An ancient neurotrophin code in zebrafish; the Runx/Cbfβ complex specifies the fate switch from TrkB+ to TrkC+ nociceptors and sensory receptor expression. University of Washington","[""http://hdl.handle.net/1773/36496"", ""https://www.cell.com/trends/biochemical-sciences/fulltext/S0968-0004(08)00124-2""]"
260,NF-kappa-B code,The NF-kappa-B Code,"Calao, M., Burny, A., Quivy, V., Dekoninck, A., & Van Lint, C. (2008). A pervasive role of histone acetyltransferases and deacetylases in an NF-kappaB-signaling code. Trends Biochem Sci, 33(7), 339- 349.","[""https://www.cell.com/trends/biochemical-sciences/fulltext/S0968-0004(08)00124-2""]"
261,Niche codes,The Cellular Niche Codes,"Reen, F. J., Almagro-Moreno, S., Ussery, D., & Boyd, E. F. (2006). The genomic code: inferring Vibrionaceae niche specialization. Nat Rev Microbiol, 4(9), 697-704. Forsberg, E. C. and S. Smith-Berdan (2009). “Parsing the niche code: the molecular mechanisms governing hematopoietic stem cell adhesion and differentiation.” Haematologica 94(11): 1477-1481. Chaker, Z., Makarouni, E., & Doetsch, F. (2024). The Organism as the Niche: Physiological States Crack the Code of Adult Neural Stem Cell Heterogeneity. Annu Rev Cell Dev Biol, 40(1), 381-406.","[""https://doi.org/10.1038/nrmicro1476"", ""https://doi.org/10.1146/annurev-cellbio-120320-040213"", ""https://doi.org/10.18632/oncotarget.27683"", ""https://haematologica.org/article/view/5395""]"
262,NKL code,The NKL Homeobox Code,"Nagel, S., Pommerenke, C., MacLeod, R. A. F., Meyer, C., Kaufmann, M., & Drexler, H. G. (2020). The NKL-code for innate lymphoid cells reveals deregulated expression of NKL homeobox genes HHEX and HLX in anaplastic large cell lymphoma (ALCL). Oncotarget, 11(34), 3208-3226. Nagel, S. (2021). ""NKL-Code in Normal and Aberrant Hematopoiesis."" Cancers (Basel) 13(8). Nagel, S. (2022). The NKL- and TALE-Codes Represent Hematopoietic Gene Signatures to Evaluate Deregulated Homeobox Genes in Hodgkin Lymphoma. Hemato, 3(1), 122-130.","[""https://doi.org/10.18632/oncotarget.27683"", ""https://pubmed.ncbi.nlm.nih.gov/16405855/"", ""https://www.mdpi.com/2072-6694/13/8/1961"", ""https://www.mdpi.com/2673-6357/3/1/11""]"
263,NKX code,The NKX Homeodomain Code,"Stanfel, M. N., K. A. Moses, R. J. Schwartz and W. E. Zimmer (2005). ""Regulation of organ development by the NKX-homeodomain factors: an NKX code."" Cell Mol Biol (Noisy-le-grand) Suppl 51: Ol785-799. Dinh, T. T., M. Xiang, A. Rajaraman, Y. Wang, N. Salazar, Y. Zhu, W. Roper, S. Rhee, K. Brulois, E. O'Hara, H. Kiefel, T. M. Dinh, Y. Bi, D. Gonzalez, E. P. Bao, K. Red-Horse, P. Balogh, F. Gábris, B. Gaszner, G. Berta, J. Pan and E. C. Butcher (2022). ""An NKX-COUP-TFII morphogenetic code directs mucosal endothelial addressin expression."" Nat Commun 13(1): 7448.","[""https://doi.org/10.1084/jem.20240221"", ""https://pubmed.ncbi.nlm.nih.gov/16405855/"", ""https://www.nature.com/articles/s41467-022-34991-2""]"
264,NLRP3 code,The NLRP3 Inflammasome Code SEE also Fibrogenic Code,"Weber, A. N. R., Tortola, M. M., & Kuemmerle-Deschner, J. B. (2024). Cracking the NLRP3 code: Pioneering precision medicine for inflammation. Journal of Experimental Medicine, 221(5). Tang, X., He, Y., Bao, X., Peng, Z., Xu, H., He, Y., . . . Wei, J. (2025). The Anti-Pulmonary Fibrosis Code of Plant Anthocyanins—A Multi-Targeted Anti-Fibrotic Bioactive Compound by Inhibiting the NLRP3 Inflammasome. Molecular Nutrition & Food Research, 69(23), e70275.","[""https://doi.org/10.1002/mnfr.70275"", ""https://doi.org/10.1084/jem.20240221"", ""https://www.cell.com/cell-chemical-biology/pdf/S1074-5521(00)80014-9.pdf?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074552100800149%3Fshowall%3Dtrue""]"
265,Non-ribosomal code,The Non-Ribosomal Code,"von Döhren, H., R. Dieckmann and M. Pavela-Vrancic (1999). “The nonribosomal code.” Chem Biol 6(10): R273-279. Ackerley, D. F. (2016). “Cracking the Nonribosomal Code.” Cell Chem Biol 23(5): 535-537.","[""https://www.cell.com/cell-chemical-biology/fulltext/S2451-9456(16)30127-1"", ""https://www.cell.com/cell-chemical-biology/pdf/S1074-5521(00)80014-9.pdf?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074552100800149%3Fshowall%3Dtrue""]"
266,NOS code,The Nitric Oxide Synthase (Chemical) Code,"Costa, M., Furness, J. B., Pompolo, S., Brookes, S. J. H., Bornstein, J. C., Bredt, D. S., & Snyder, S. H. (1992). Projections and chemical coding of neurons with immunoreactivity for nitric oxide synthase in the guinea-pig small intestine. Neurosci Lett, 148(1), 121-125. Anderson, C. R., McAllen, R. M., & Edwards, S. L. (1995). Nitric oxide synthase and chemical coding in cat sympathetic postganglionic neurons. Neuroscience, 68(1), 255-264.","[""https://doi.org/10.1016/0304-3940(92)90819-S"", ""https://doi.org/10.1016/0306-4522(95)00143-7"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(04)01051-6""]"
267,Notch Code,The Notch Code,"Cave, J. W., F. Loh, J. W. Surpris, L. Xia and M. A. Caudy (2005). “A DNA transcription code for cell- specific gene activation by notch signaling.” Curr Biol 15(2): 94-104. Cave, J. W., L. Xia and M. A. Caudy (2009). “The Daughterless N-terminus directly mediates synergistic interactions with Notch transcription complexes via the SPS+A DNA transcription code.” BMC Res Notes 2: 65. Kakuda, S. and R. S. Haltiwanger (2017). “Deciphering the Fringe-Mediated Notch Code: Identification of Activating and Inhibiting Sites Allowing Discrimination between Ligands.” Dev Cell 40(2): 193-201.","[""https://bmcresnotes.biomedcentral.com/articles/10.1186/1756-0500-2-65"", ""https://doi.org/10.1016/j.bpj.2024.11.1686"", ""https://linkinghub.elsevier.com/retrieve/pii/S1534-5807(16)30877-2"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(04)01051-6""]"
268,Nuclear rigidity code,The Nuclear Rigidity Code,"Tagay, Y. (2025). BPS2025 - Cracking the code of nuclear rigidity: New frontiers in cell migration and therapy. Biophysical Journal, 124(3), 302a-303a.","[""https://doi.org/10.1016/j.bpj.2024.11.1686"", ""https://link.springer.com/chapter/10.1007/978-1-4020-6340-4_9""]"
269,Nuclear signalling code,The Nuclear Signalling Code,"Maraldi, N. M. (2008). A Lipid-based Code in Nuclear Signalling. The Codes of Life: The Rules of Macroevolution. M. Barbieri and J. Hoffmeyer. Dordrecht, Springer Netherlands: 207-221.","[""https://link.springer.com/chapter/10.1007/978-1-4020-6340-4_9"", ""https://www.nature.com/articles/ncomms12861""]"
270,Nucleoprotein code,The Nucleoprotein Code,"Moreira É, A., A. Weber, H. Bolte, L. Kolesnikova, S. Giese, S. Lakdawala, M. Beer, G. Zimmer, A. García-Sastre, M. Schwemmle and M. Juozapaitis (2016). ""A conserved influenza A virus nucleoprotein code controls specific viral genome packaging."" Nat Commun 7: 12861.","[""https://www.nature.com/articles/nature04979/"", ""https://www.nature.com/articles/ncomms12861""]"
271,Nucleosome code,The Nucleosome Code,"Segal, E., Y. Fondufe-Mittendorf, L. Chen, A. Thåström, Y. Field, I. K. Moore, J.-P. Z. Wang and J. Widom (2006). “A genomic code for nucleosome positioning.” Nature 442(7104): 772-778. Segal, M. R. (2008). “Re-cracking the nucleosome positioning code.” Stat Appl Genet Mol Biol 7(1): Article14. Warnecke, T., Batada, N. N., & Hurst, L. D. (2008). The impact of the nucleosome code on protein- coding sequence evolution in yeast. PLoS Genet, 4(11), e1000250.","[""https://doi.org/10.1371/journal.pgen.1000250"", ""https://www.degruyter.com/document/doi/10.2202/1544-6115.1367/html"", ""https://www.nature.com/articles/nature04979/""]"
