Code Number,Code Name,Paper Name,URL,Reason
375,Sugar code,"Bondar, A.-C., Iordache, M. P., Coroescu, M., Buliman, A., Rusu, E., Budișteanu, M., & Tanase, C. (2025). Unlocking the Sugar Code: Implications and Consequences of Glycosylation in Alzheimer’s Disease and Other Tauopathies. Biomedicines, 13(12), 2884.",https://www.mdpi.com/2227-9059/13/12/2884,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
376,Sulfation code,"Gama, C. I., S. E. Tully, N. Sotogaku, P. M. Clark, M. Rawat, N. Vaidehi, W. A. Goddard, A. Nishi and L. C. Hsieh-Wilson (2006). “Sulfation patterns of glycosaminoglycans encode molecular recognition and activity.” Nature Chemical Biology 2(9): 467-473.",https://www.nature.com/articles/nchembio810,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
376,Sulfation code,"Lamanna, W. C., Kalus, I., Padva, M., Baldwin, R. J., Merry, C. L. R., & Dierks, T. (2007). The heparanome—The enigma of encoding and decoding heparan sulfate sulfation. J Biotechnol, 129(2), 290-307.",https://www.sciencedirect.com/science/article/abs/pii/S0168165607001149,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
376,Sulfation code,"Yamada, M. and T. Hamaguchi (2018). “The sulfation code for propagation of neurodegeneration.” J Biol Chem 293(27): 10841-10842.",https://www.jbc.org/article/S0021-9258(20)33834-5/fulltext,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
376,Sulfation code,"Holmes, S. G., B. Nagarajan and U. R. Desai (2022). “3-O-Sulfation induces sequence-specific compact topologies in heparan sulfate that encode a dynamic sulfation code.” Computational and Structural Biotechnology Journal 20: 3884-3898.",https://www.sciencedirect.com/science/article/pii/S200103702200294X,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
377,Sulfur code,"Shim, H. S. and V. D. Longo (2015). “A protein restriction-dependent sulfur code for longevity.” Cell 160(1-2): 15-17.",https://www.cell.com/cell/fulltext/S0092-8674(14)01633-X,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
377,Sulfur code,"Azam, F., Anwar, M. J., Kahfi, J., Almahmoud, S. A., & Emwas, A.-H. (2025). Cracking the Sulfur Code: Garlic Bioactive Molecules as Multi-Target Blueprints for Drug Discovery. Pharmaceuticals, 18(11), 1766.",https://www.mdpi.com/1424-8247/18/11/1766,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
378,SUMO code,"Kim, K. I. and S. H. Baek (2006). ""SUMOylation code in cancer development and metastasis."" Mol Cells 22(3): 247-253.",https://www.molcells.org/journal/view.html?year=2006&volume=22&number=3&spage=247,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
379,Surface code,"Xie, Q., J. Li, H. Li, N. D. Udeshi, T. Svinkina, D. Orlin, S. Kohani, R. Guajardo, D. R. Mani, C. Xu, T. Li, S. Han, W. Wei, S. A. Shuster, D. J. Luginbuhl, S. R. Quake, S. E. Murthy, A. Y. Ting, S. A. Carr and L. Luo",https://www.cell.com/neuron/fulltext/S0896-6273(22)00403-2,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Redies, C. and M. Takeichi (1996). ""Cadherins in the developing central nervous system: an adhesive code for segmental and functional subdivisions."" Dev Biol 180(2): 413-423.",https://www.sciencedirect.com/science/article/pii/S0012160696903152,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Shapiro, L. and D. R. Colman (1999). “The diversity of cadherins and implications for a synaptic adhesive code in the CNS.” Neuron 23(3): 427-430.",https://www.cell.com/neuron/fulltext/S0896-6273(00)80796-5,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Boudkkazi, S., E. Carlier, N. Ankri, O. Caillard, P. Giraud, L. Fronzaroli-Molinieres and D. Debanne (2007). ""Release-dependent variations in synaptic latency: a putative code for short- and long-term synaptic dynamics."" Neuron 56(6): 1048-1060.",https://www.cell.com/neuron/fulltext/S0896-6273(07)00863-X,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Berretta, N., R. Nisticò, G. Bernardi and N. B. Mercuri (2008). ""Synaptic plasticity in the basal ganglia: a similar code for physiological and pathological conditions."" Prog Neurobiol 84(4): 343-362.",https://www.sciencedirect.com/science/article/pii/S0301008207002298,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Szabo, G. G. and I. Soltesz (2015). “Pass-Through Code of Synaptic Integration.” Neuron 87(6): 1124- 1126.",https://www.cell.com/neuron/fulltext/S0896-6273(15)00763-1,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Südhof, T. C. (2017). ""Synaptic Neurexin Complexes: A Molecular Code for the Logic of Neural Circuits."" Cell 171(4): 745-769.",https://www.cell.com/cell/fulltext/S0092-8674(17)31246-1,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
381,Synaptic code,"Diering, G. H. and R. L. Huganir (2018). ""The AMPA Receptor Code of Synaptic Plasticity."" Neuron 100(2): 314-329.",https://www.cell.com/neuron/fulltext/S0896-6273(18)30906-1,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
383,TALE code,"De Kumar, B., H. J. Parker, A. Paulson, M. E. Parrish, I. Pushel, N. P. Singh, Y. Zhang, B. D. Slaughter, J. R. Unruh, L. Florens, J. Zeitlinger and R. Krumlauf (2017). ""HOXA1 and TALE proteins display cross- regulatory interactions and form a combinatorial binding code on HOXA1 targets."" Genome Res 27(9): 1501-1512.",https://genome.cshlp.org/content/27/9/1501.long,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
383,TALE code,"Nagel, S., Pommerenke, C., Meyer, C., & MacLeod, R. A. F. (2022). The Hematopoietic TALE-Code Shows Normal Activity of IRX1 in Myeloid Progenitors and Reveals Ectopic Expression of IRX3 and IRX5 in Acute Myeloid Leukemia. Int J Mol Sci, 23(6).",https://www.mdpi.com/1422-0067/23/6/3192,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
385,Taste code,"Di Lorenzo, P. M. (2000). “The neural code for taste in the brain stem: Response profiles.” Physiology & Behavior 69(1): 87-96.",https://www.sciencedirect.com/science/article/abs/pii/S0031938400001918,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
385,Taste code,"Di Lorenzo, P. M. and C. H. Lemon (2000). ""The neural code for taste in the nucleus of the solitary tract of the rat: effects of adaptation."" Brain Res 852(2): 383-397.",https://linkinghub.elsevier.com/retrieve/pii/S0006-8993(99)02187-3,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
385,Taste code,"Hallock, R. M. and P. M. Di Lorenzo (2006). “Temporal coding in the gustatory system.” Neurosci Biobehav Rev 30(8): 1145-1160.",https://www.sciencedirect.com/science/article/abs/pii/S0149763406000741,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
385,Taste code,"Escanilla, O. D., A. Hajnal, K. Czaja and P. M. Di Lorenzo (2022). “The Neural Code for Taste in the Nucleus of the Solitary Tract of Rats with Obesity Following Roux-En-Y Gastric Bypass Surgery.” Nutrients 14(19).",https://pennstate.pure.elsevier.com/en/publications/the-neural-code-for-taste-in-the-nucleus-of-the-solitary-tract-of,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
386,T-cell code,"Boothby, M. (2010). ""CRACking the code without Rosetta: molecular regulation of calcium-stimulated gene transcription after T cell activation."" J Immunol 185(9): 4969-4971.",https://journals.aai.org/jimmunol/article/185/9/4969/83178/CRACking-the-Code-without-Rosetta-Molecular,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
386,T-cell code,"Engelhardt, B. and R. M. Ransohoff (2012). “Capture, crawl, cross: the T cell code to breach the blood–brain barriers.” Trends in Immunology 33(12): 579-589.",https://www.cell.com/trends/immunology/fulltext/S1471-4906(12)00126-3,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
386,T-cell code,"Harvey, C. J. and K. W. Wucherpfennig (2013). “Cracking the code of human T-cell immunity.” Nature Biotechnology 31(7): 609-610.",https://www.nature.com/articles/nbt.2626/,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
386,T-cell code,"Dustin, M. L. and L. C. Kam (2016). ""Tapping out a mechanical code for T cell triggering."" J Cell Biol 213(5): 501-503.",https://rupress.org/jcb/article/213/5/501/38323/Tapping-out-a-mechanical-code-for-T-cell,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
386,T-cell code,"Wu, J. and H. Shi (2017). ""Unlocking the epigenetic code of T cell exhaustion."" Transl Cancer Res 6(Suppl 2): S384-s387.",https://tcr.amegroups.com/article/view/12604/10753,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
387,Temporal codes,"Ahissar, E. (1998). ""Temporal-code to rate-code conversion by neuronal phase-locked loops."" Neural Comput 10(3): 597-650.",https://direct.mit.edu/neco/article-abstract/10/3/597/6154/Temporal-Code-to-Rate-Code-Conversion-by-Neuronal,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
387,Temporal codes,"Behar, M. and A. Hoffmann (2010). “Understanding the temporal codes of intra-cellular signals.” Curr Opin Genet Dev 20(6): 684-693.",https://www.sciencedirect.com/science/article/abs/pii/S0959437X10001668,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
387,Temporal codes,"Cheemalavagu, N. and R. A. Gottschalk (2021). ""Time will tell: The temporal code of immune threats."" Immunity 54(5): 845-847.",https://www.cell.com/immunity/fulltext/S1074-7613(21)00180-1,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
388,Tension code,"Narain, R., Muncie-Vasic, J. M., & Weaver, V. M. (2025). Forcing the code: tension modulates signaling to drive morphogenesis and malignancy. Genes Dev, 39(1-2), 163-181.",https://genesdev.cshlp.org/content/39/1-2/163,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
390,Thermal code,"Schingnitz, G. and J. Werner (1980). ""Thalamic burst firing--a neuronal code for temperature information."" Brain Res 195(2): 467-470.",https://www.sciencedirect.com/science/article/abs/pii/0006899380900815,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
391,Thyroid code,"Bianco, A. C. (2013). Cracking the code for thyroid hormone signaling. Trans Am Clin Climatol Assoc, 124, 26-35.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3715916/,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
391,Thyroid code,"Russo, S. C., F. Salas-Lucia and A. C. Bianco (2021). ""Deiodinases and the Metabolic Code for Thyroid Hormone Action."" Endocrinology 162(8).",https://academic.oup.com/endo/article/162/8/bqab059/6171212,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
393,Time code,"Mello, G. B., S. Soares and J. J. Paton (2015). ""A scalable population code for time in the striatum."" Curr Biol 25(9): 1113-1122.",https://www.cell.com/current-biology/fulltext/S0960-9822(15)00205-5,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
394,Tissue code,"Irwin, D. and I. D. Dauphinais (1979). ""A tissue-specific code based on the abundance of SDS- solubilized proteins."" Anal Biochem 92(1): 193-198.",https://www.sciencedirect.com/science/article/abs/pii/0003269779906444,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
395,Tissue memory code,"Berlanga-Acosta, J., M. Fernandez-Mayola, Y. Mendoza-Mari, A. Garcia-Ojalvo, I. Martinez-Jimenez, N. Rodriguez-Rodriguez, D. Garcia Del Barco Herrera and G. Guillén-Nieto (2022). ""Cell-Free Filtrates (CFF) as Vectors of a Transmissible Pathologic Tissue Memory Code: A Hypothetical and Narrative Review."" Int J Mol Sci 23(19).",https://www.mdpi.com/1422-0067/23/19/11575,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
399,Toxin resistance code,"Tabashnik, B. E. (2001). ""Breaking the code of resistance."" Nat Biotechnol 19(10): 922-924.",https://www.nature.com/articles/nbt1001-922,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Jessell, T. M. (2000). ""Neuronal specification in the spinal cord: inductive signals and transcriptional codes."" Nature Reviews Genetics 1(1): 20-29.",https://www.nature.com/articles/35049541,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Marquardt, T. and S. L. Pfaff (2001). ""Cracking the Transcriptional Code for Cell Specification in the Neural Tube."" Cell 106(6): 651-654.",https://www.sciencedirect.com/science/article/pii/S0092867401004998,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Allan, D. W., S. E. St Pierre, I. Miguel-Aliaga and S. Thor (2003). ""Specification of neuropeptide cell identity by the integration of retrograde BMP signaling and a combinatorial transcription factor code."" Cell 113(1): 73-86.",https://www.cell.com/cell/fulltext/S0092-8674(03)00204-6,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Ness, S. A. (2003). ""Myb protein specificity: evidence of a context-specific transcription factor code."" Blood Cells Mol Dis 31(2): 192-200.",https://linkinghub.elsevier.com/retrieve/pii/S1079979603001517,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Okamura, H., K. Yokoyama, H. Koike, M. Yamada, A. Shimowasa, M. Kabasawa, T. Kawashima and M. Suzuki (2007). ""A structural code for discriminating between transcription signals revealed by the feast/famine regulatory protein DM1 in complex with ligands."" Structure 15(10): 1325-1338.",https://www.cell.com/structure/fulltext/S0969-2126(07)00295-X,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Rothbächer, U., V. Bertrand, C. Lamy and P. Lemaire (2007). ""A combinatorial code of maternal GATA, Ets and beta-catenin-TCF transcription factors specifies and patterns the early ascidian ectoderm."" Development 134(22): 4023-4032.",https://journals.biologists.com/dev/article/134/22/4023/64623/A-combinatorial-code-of-maternal-GATA-Ets-and,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Hochstim, C., B. Deneen, A. Lukaszewicz, Q. Zhou and D. J. Anderson (2008). ""Identification of positionally distinct astrocyte subtypes whose identities are specified by a homeodomain code."" Cell 133(3): 510-522.",https://www.cell.com/cell/fulltext/S0092-8674(08)00396-6,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
400,Transcription factor code,"Pimanda, J. E., W. Y. Chan, N. K. Wilson, A. M. Smith, S. Kinston, K. Knezevic, M. E. Janes, J. R. Landry, A. Kolb-Kokocinski, J. Frampton, D. Tannahill, K. Ottersbach, G. A. Follows, G. Lacaud, V. Kouskoff and B. Göttgens (2008). ""Endoglin expression in blood and endothelium is differentially regulated by modular assembly of the Ets/Gata hemangioblast code."" Blood 112(12): 4512-4522.",https://ashpublications.org/blood/article/112/12/4512/24456/Endoglin-expression-in-blood-and-endothelium-is,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
